time,btc,eth,sol_mcap,hype_mcap,btc_vol,sol_vol,hype_vol,hype_supply_step_flag
2020-09-03,10261.4944095266,383.542584979544,117258130.8065646,,8710778044.9417,25175162.7057643,,0
2020-09-04,10471.9664133255,386.66907597896,118139183.92753436,,7045920627.2905,14550735.3547823,,0
2020-09-05,10128.64358609,331.420088544711,86735270.57274534,,6904836212.52442,22912513.0474763,,0
2020-09-06,10253.2998980129,353.227129573349,103555762.86053264,,4274065812.73428,15941453.400136,,0
2020-09-07,10367.8783543542,352.806469023963,97685400.74192256,,4271438853.27548,12831484.7365434,,0
2020-09-08,10108.6354501461,336.716558094682,84542482.32725206,,4567489668.0815,7945446.74318643,,0
2020-09-09,10223.1114091175,352.053948568089,120203538.8691846,,3159599982.65836,43093344.8602439,,0
2020-09-10,10334.6307302162,367.380867621274,118237811.85985725,,3867715393.22439,27379619.7149436,,0
2020-09-11,10387.0207419638,373.966615780245,119911240.14028049,,3076203762.06351,12862655.0935049,,0
2020-09-12,10436.9778322618,386.216055055523,117125372.8373966,,2628714916.62974,7064262.25941292,,0
2020-09-13,10322.5236148451,365.641607831677,112971783.13262507,,3361747341.41226,12042327.8301281,,0
2020-09-14,10662.719912332,375.801003682057,115051965.96522968,,4023707662.66782,17541493.228781,,0
2020-09-15,10779.3810249562,363.936595733489,106770575.86449692,,4122114630.89057,9368678.32204424,,0
2020-09-16,10968.3205465809,365.322076212741,93079396.58905408,,4160254676.76988,21513101.0241567,,0
2020-09-17,10936.2927505552,389.446111046172,106826909.0979833,,3851491921.28269,18711931.0541783,,0
2020-09-18,10920.1128439509,382.261676271186,114702550.42201002,,3459102100.3458,18989605.0841192,,0
2020-09-19,11073.7795478083,385.246569666861,112846734.8484447,,2609652848.52773,7693496.06637118,,0
2020-09-20,10921.2180998247,371.207025715956,106912427.9957194,,2710721791.71621,6256014.16217173,,0
2020-09-21,10455.3799623027,342.456390473407,104281863.21674412,,4410493000.68902,15290005.4239952,,0
2020-09-22,10519.8391641146,343.503662536528,110131001.49337976,,3210633991.65678,15226596.633053,,0
2020-09-23,10233.2995687317,320.588590882525,107503326.61064708,,3248613100.93573,11697991.2221398,,0
2020-09-24,10739.0427094097,349.144016014027,119016591.69510458,,3442718828.46181,13202606.2806868,,0
2020-09-25,10683.6305806546,351.713962361192,121215629.63933226,,3126334561.1697,10521366.4237554,,0
2020-09-26,10742.0304202221,354.601045762712,120196233.23850982,,2215752882.95837,6232144.70429784,,0
2020-09-27,10758.8242899474,356.121992752776,122360444.38538608,,2223792987.89894,4857039.55010626,,0
2020-09-28,10727.3750541204,355.45993395675,115223612.02162528,,3265431159.21933,6434784.62632362,,0
2020-09-29,10841.1427444769,359.701439801286,116636091.24133956,,2828750275.49269,4151910.42142624,,0
2020-09-30,10772.351766803,359.976752483928,115928307.55094124,,2627247662.82205,3426752.90470402,,0
2020-10-01,10606.6173325541,352.360856049094,115570032.47044958,,3750289448.1516,6047387.95945544,,0
2020-10-02,10570.1056777908,345.801279485681,106597777.02544507,,3557390483.76448,11576307.7376495,,0
2020-10-03,10555.7054339567,346.652968907072,104840718.51890457,,1796086368.42649,2550433.7172888,,0
2020-10-04,10665.618622443,352.339400233781,103070250.57957044,,1835679192.75064,3258260.03591203,,0
2020-10-05,10772.6355995909,353.191780187025,109921542.04905204,,2349831037.18372,3505205.13941597,,0
2020-10-06,10596.3735493863,340.10351987142,89865250.80085382,,2990765980.82549,6565727.66250443,,0
