date,btc_usd,eth_usd,sol_usd
2024-11-09,76426.890037,2983.946072,199.361144
2024-11-10,76734.781574,3114.890234,199.218729
2024-11-11,81193.874734,3215.139448,211.811561
2024-11-12,88938.694558,3324.177441,220.425859
2024-11-13,87902.041964,3269.585142,208.884584
2024-11-14,89738.412527,3177.542654,214.054271
2024-11-15,87932.959911,3081.340296,210.173425
2024-11-16,91250.034219,3101.757176,218.546313
2024-11-17,90196.538257,3095.369575,215.911941
2024-11-18,90552.642779,3104.653845,237.938757
2024-11-19,91000.091,3156.080489,240.522977
2024-11-20,92002.244855,3108.331571,236.458491
2024-11-21,94842.466663,3090.623574,237.75761
2024-11-22,97917.299049,3320.577887,255.59296
2024-11-23,98378.718716,3331.507667,255.957617
2024-11-24,98150.838208,3430.583515,258.97733
2024-11-25,97357.711704,3328.482625,248.584758
2024-11-26,94524.212377,3445.766394,236.836547
2024-11-27,92616.604305,3336.892685,231.378157
2024-11-28,96359.536703,3627.796759,243.52026
2024-11-29,95823.990494,3563.413436,237.281185
2024-11-30,96720.217427,3610.683144,240.438188
2024-12-01,96164.942109,3710.60956,237.196614
2024-12-02,97796.641663,3727.579541,236.142744
2024-12-03,95501.862286,3626.656067,225.529448
2024-12-04,96413.420748,3686.510909,239.218109
2024-12-05,98429.072011,3814.970861,226.448594
2024-12-06,98438.761247,3879.130935,244.957475
2024-12-07,100150.225338,3991.112591,235.903054
2024-12-08,99812.352777,3940.965908,239.715144
2024-12-09,99457.95415,3947.308173,232.39883
2024-12-10,97972.939874,3755.037852,218.817402
2024-12-11,96349.324109,3601.732001,215.55927
2024-12-12,100564.164965,3811.69466,226.315942
2024-12-13,99495.557523,3872.23034,226.104339
2024-12-14,102062.686902,3924.97489,225.645012
2024-12-15,102013.751454,3881.255323,221.247481
2024-12-16,105276.455973,4000.188809,225.586481
2024-12-17,103239.660548,3980.400508,214.547618
2024-12-18,102370.910282,3861.093307,217.592669
2024-12-19,98716.683119,3629.920857,205.685716
2024-12-20,95242.630601,3383.317336,194.56969
2024-12-21,98206.744839,3460.838707,194.904906
2024-12-22,97667.695433,3344.507332,181.2001
2024-12-23,94855.061466,3279.12825,181.501363
2024-12-24,94210.749447,3383.855422,188.134146
2024-12-25,97762.222722,3473.167695,199.546434
2024-12-26,97349.18178,3465.098317,196.902235
2024-12-27,95961.922309,3365.25955,189.196942
2024-12-28,94042.413128,3328.338607,184.633241
2024-12-29,94914.482052,3374.841636,192.416078
2024-12-30,93766.409122,3411.740824,193.281749
2024-12-31,92233.905184,3327.349649,188.80561
2025-01-01,93873.796069,3344.750081,189.842386
2025-01-02,94805.601115,3380.963216,196.52228
2025-01-03,96624.892505,3446.793741,205.66211
2025-01-04,97957.584366,3592.101113,217.461062
2025-01-05,98524.108849,3634.822472,215.822539
2025-01-06,98239.547312,3627.429607,213.122858
2025-01-07,101855.812911,3689.086723,218.208188
2025-01-08,97012.029492,3391.046687,200.937034
2025-01-09,94851.46261,3335.674978,197.544756
2025-01-10,93086.46802,3237.557742,187.364185
2025-01-11,94769.662336,3251.789297,186.617258
2025-01-12,94576.95727,3288.273032,187.218343
2025-01-13,94816.388065,3278.501489,188.191921
2025-01-14,94754.396604,3145.296995,182.931008
2025-01-15,97172.286464,3239.461303,188.40024
2025-01-16,100036.012965,3402.992592,203.555519
2025-01-17,100829.829497,3368.348438,213.418909
2025-01-18,104292.686997,3461.176503,217.558458
2025-01-19,104318.798247,3344.856363,252.99201
2025-01-20,100597.549444,3208.026739,245.160899
2025-01-21,101179.755954,3228.469418,233.813266
2025-01-22,105558.722317,3332.18706,252.196682
2025-01-23,103411.546933,3246.086112,255.668299
2025-01-24,103425.450935,3318.08122,251.766664
2025-01-25,104769.088928,3303.247356,252.773422
2025-01-26,103914.457618,3312.885102,255.750425
2025-01-27,101723.190853,3213.164205,236.058946
2025-01-28,101649.775862,3162.475332,233.84328
2025-01-29,101573.371525,3103.092169,228.521009
2025-01-30,104524.882148,3149.610267,235.010695
2025-01-31,104637.535577,3268.861576,237.749153
2025-02-01,102214.999029,3325.933132,233.816717
2025-02-02,100782.068854,3134.471983,217.940367
2025-02-03,94592.165877,2778.87775,193.82395
2025-02-04,101262.746448,2849.402252,218.017638
2025-02-05,98123.871575,2743.102674,207.482221
2025-02-06,96950.894372,2778.781226,198.432792
2025-02-07,96763.268663,2705.46447,191.046957
2025-02-08,96725.830633,2638.473696,193.193048
2025-02-09,96706.187262,2647.559056,201.33719
